ちょうちょ	Butterfly	http://www.thingiverse.com/download:342843	ちょうちょ チョウチョ choucho 町長 蝶々 長調 東京 今日 フォーン 京都 とうきょう 当古町 道女 老女 登場 状況 消去 長女	200	0
さわれる検索	sawarerukensaku	http://www.thingiverse.com/download:343115	さわれる検索 さわれるけんさく われる検査 触れる検索 割れる件 触れる 買われる 買われる検索 アレルゲン 流れる 触れる sawarerukensaku	200	0
サッカーボール	soccerBall	http://www.thingiverse.com/download:343264	サッカーボール さっかーぼーる soccer soccerball サッカーゴール あほ 今ゴール あほ	200	0
鬼	Demon	http://www.thingiverse.com/download:342895	鬼 おに オニ oni オンニ のに 2 	200	0
ブランコ	Swing	http://www.thingiverse.com/download:343169	ブランコ ぶらんこ buranko ブラウン ウラン ブラン	200	0
チューリップ	Tulip	http://www.thingiverse.com/download:343184	チューリップ ちゅーりっぷ 修理 釣り きゅうり 注意 ユーリ 	200	0
ジンベイザメ	Whaleshark	http://www.thingiverse.com/download:343194	ジンベイザメ じんべいざめ jinbeizame 眠れ 目覚め シーレーザーね ジンベエザメ	200	0
キタキツネ	Redfox	http://www.thingiverse.com/download:343111	キタキツネ きたきつね redfox	200	0
鳥居	Torii	http://www.thingiverse.com/download:343178	鳥居 とりい torii トリイ	200	0
三葉虫	Trilobite	http://www.thingiverse.com/download:343182	三葉虫 さんようちゅう サンヨウチュウ trilobite	200	0
エリマキトカゲ	Frilledlizard	http://www.thingiverse.com/download:342919	エリマキトカゲ 襟巻とかげ えりまきとかげ frilledlizard	200	0
阿弥陀如来	Amitaabha	http://www.thingiverse.com/download:342321	阿弥陀如来 あみだにょらい アミダニョライ	200	0
ブルドッグ	Bulldog	http://www.thingiverse.com/download:342841	ぶるどっぐ ぶるどっく bulldog ブルドッグ ブルドック 	200	0
ミニチュアダックスフンド	Dachshund	http://www.thingiverse.com/download:342893	ミニチュアダックスフンド みにちゅあだっくすふんど ダックス ミニチュアダックスフント 	200	0
金閣寺	Kinkakuji	http://www.thingiverse.com/download:343061	金閣寺 銀閣寺 きんかくじ キンカクジ 金閣陣 kinkakuji	200	0
富士山	MtFuji	http://www.thingiverse.com/download:343072	富士山 ふじさん 藤さん 不二さん フジヤマ ふじやま mountfuji	200	0
孔雀	Peafowl	http://www.thingiverse.com/download:343080	クジャク くじゃく 孔雀 九尺 ９弱	200	0
キツツキ	Piciformes	http://www.thingiverse.com/download:343094	キツツキ 啄木鳥 きつつき つつき	200	0
プードル	Poodle	http://www.thingiverse.com/download:343101	プードル ぷーどる poodle	200	0
猪	Wildboar	http://www.thingiverse.com/download:343195	猪 いのしし イノシシ 亥 猯 	200	0
千手観音	ThousandarmedKannon	http://www.thingiverse.com/download:343176	千手観音 せんじゅかんのん センジュカンノン ThousandarmedKannon	200	0
出雲大社	IzumoShrine	http://www.thingiverse.com/download:343058	出雲大社 いずもたいしゃ イズモタイシャ いずものおおやしろ イズモノオオヤシロ IzumoShrine 境内 神社 けいだい じんじゃ ケイダイ ジンジャ keidai jinja	200	0
ヒヨコ	Chick	http://www.thingiverse.com/download:343211	ヒヨコ ひよこ hiyoko chick 雛 	200	0
ナポレオンフィッシュ	Napoleonfish	http://www.thingiverse.com/download:343223	ナポレオンフィッシュ なぽれおんふぃっしゅ sapoleonfish	200	0
ノコギリザメ	Sawshark	http://www.thingiverse.com/download:343224	ノコギリザメ のこぎりざめ sawshark 鋸鮫 ノコギリさめ	200	0
サソリ	Scorpion	http://www.thingiverse.com/download:343225	サソリ さそり scorpion 蠍 螺蠃 蝎	200	0
頭蓋骨	Skull	http://www.thingiverse.com/download:343227	頭蓋骨 頭がい骨 ずがいこつ ズガイコツ skull 骸骨 ガイコツ がい骨 がいこつ 	200	0
凱旋門	Arcdetriomphe	http://www.thingiverse.com/download:343209	凱旋門 がいせんもん ガイセンモン Arcdetriomphe	200	0
F1	F1	http://www.thingiverse.com/download:343219	F1 えふわん エフワン えふあん え不安	200	0
日本	Japan	http://www.thingiverse.com/download:343220	日本 にっぽん ニッポン にほん ニホン じゃぱん ジャパン JAPAN nippon 一本 1本 2本 二本 日本列島 にっぽんれっとう ニッポンレットウ	200	0
蚊	Culex	http://www.thingiverse.com/download:343215	蚊	200	0
エッフェル塔	EiffelTower	http://www.thingiverse.com/download:343216	エッフェル塔	200	0
メスライオン	Lioness	http://www.thingiverse.com/download:343221	メスライオン	200	0
スフィンクス	Sphinx	http://www.thingiverse.com/download:343228	スフィンクス	200	0
